NO,company_name,company_code,esg_rating,env_rating,soc_rating,gov_rating,year
278,청호ICT,012600,D,D,D,등급없음,2025
277,체시스,033250,D,C,D,D,2025
276,칩스앤미디어,094360,C,D,C,B,2025
275,카카오,035720,A,A,A+,A,2025
274,카카오게임즈,293490,A,A,A+,A,2025
273,카카오뱅크,323410,A,A,A,A,2025
272,카카오페이,377300,A,A,A+,A,2025
271,카페24,042000,C,D,C,B,2025
270,카프로,006380,C,C,C,C,2025
269,컴투스,078340,A,A,A+,B+,2025
268,케어랩스,263700,D,D,C,D,2025
267,케어젠,214370,C,D,C,B,2025
266,케이디비생명보험,807958,등급없음,등급없음,등급없음,B,2025
265,케이뱅크,800172,등급없음,등급없음,등급없음,B+,2025
264,케이비국민카드,861717,등급없음,등급없음,등급없음,A,2025
263,케이비라이프생명보험,839185,등급없음,등급없음,등급없음,A,2025
262,케이비아이동국실업,001620,D,C,C,D,2025
261,케이비증권,003450,등급없음,등급없음,등급없음,B+,2025
260,케이비캐피탈,021960,등급없음,등급없음,등급없음,B+,2025
259,케이씨,029460,C,C,B+,C,2025
258,케이씨씨,002380,B,B+,A,C,2025
257,케이씨씨글라스,344820,A,A,A,A,2025
256,케이씨텍,281820,B,B,C,B+,2025
255,케이씨티시,009070,D,C,D,D,2025
254,케이엔더블유,105330,C,C,B,C,2025
253,케이엠더블유,032500,D,D,C,C,2025
252,케이카,381970,B,C,B,B,2025
251,케이탑리츠,145270,D,D,D,D,2025
250,케이티,030200,A,A,A+,A,2025
249,케이티스카이라이프,053210,B+,B,A,B+,2025
248,케이티알파,036030,B+,A,A,B+,2025
247,케이티앤지,033780,A,A,A+,A,2025
246,코리아써키트,007810,C,B,B+,D,2025
245,코리아에셋투자증권,190650,C,D,B,C,2025
244,코리안리,003690,A,A,A+,A,2025
243,코미코,183300,B,A,B+,C,2025
242,코스맥스,192820,A,A,A+,B+,2025
241,코스맥스비티아이,044820,A,A,A+,B+,2025
240,코스메카코리아,241710,C,C,C,C,2025
239,코스모신소재,005070,C,C,D,C,2025
238,코스모화학,005420,C,C,C,C,2025
237,코아스,071950,C,C,C,C,2025
236,코오롱,002020,B+,B+,A,B,2025
235,코오롱ENP,138490,B+,B,A,B+,2025
234,코오롱글로벌,003070,B+,B+,B+,B+,2025
233,코오롱모빌리티그룹,450140,C,D,D,B+,2025
232,코오롱생명과학,102940,C,D,C,B,2025
231,코오롱인더,120110,A,B+,A+,B+,2025
230,코웨이,021240,A,A,A+,B+,2025
229,콘텐트리중앙,036420,D,D,C,D,2025
228,콜마비앤에이치,200130,B+,A,A,B,2025
227,콜마홀딩스,024720,A,A,A+,A,2025
226,쿠쿠홀딩스,192400,C,D,C,C,2025
225,쿠쿠홈시스,284740,C,D,C,C,2025
224,큐렉소,060280,D,D,D,C,2025
223,큐캐피탈,016600,D,D,D,D,2025
222,크라운제과,264900,B,B,B+,B,2025
221,크라운해태홀딩스,005740,B,B,B+,B,2025
220,크래프톤,259960,A,B+,A,A,2025
219,클래시스,214150,A,A,A+,A,2025
218,키다리스튜디오,020120,C,D,C,C,2025
217,키움증권,039490,B+,B+,A,B+,2025
216,키이스트,054780,D,D,D,D,2025
215,태경비케이,014580,D,C,D,D,2025
214,태경산업,015890,C,C,B+,D,2025
213,태경케미컬,006890,D,D,D,D,2025
212,태광산업,003240,B+,A,A+,B,2025
211,태림포장,011280,B,A,A+,D,2025
210,태양금속공업,004100,D,C,C,D,2025
209,태영건설,009410,B+,B+,B,B+,2025
208,태원물산,001420,D,D,D,D,2025
207,테스,095610,C,B,B+,C,2025
206,테이팩스,055490,B+,B+,A,B+,2025
205,테크윙,089030,D,C,C,D,2025
204,텔코웨어,078000,D,D,D,C,2025
203,토니모리,214420,C,D,D,B,2025
202,토스뱅크,801671,등급없음,등급없음,등급없음,B+,2025
201,티비에이치글로벌,084870,D,D,C,C,2025
200,티씨케이,064760,B+,B+,A,B+,2025
199,티에스이,131290,D,D,C,D,2025
198,티에이치엔,019180,D,C,C,D,2025
197,티와이홀딩스,363280,C,B+,B+,D,2025
196,티웨이항공,091810,B+,B+,B+,B,2025
195,티웨이홀딩스,004870,D,D,D,D,2025
194,티이엠씨,425040,D,C,C,D,2025
193,티케이지휴켐스,069260,B+,B,A,B,2025
192,티케이케미칼,104480,D,C,C,D,2025
191,파라다이스,034230,B+,A,A+,B,2025
190,파마리서치,214450,B+,B,A,B+,2025
189,파미셀,005690,D,D,D,D,2025
188,파크시스템스,140860,C,C,D,B,2025
187,파트론,091700,D,C,D,D,2025
186,팜스코,036580,A,B,A,A,2025
185,팜젠사이언스,004720,B,B+,A,C,2025
184,팬오션,028670,A,A,A,B+,2025
183,퍼스텍,010820,D,C,C,D,2025
182,퍼시스,016800,C,B,B,C,2025
181,펄어비스,263750,B+,A,A+,B,2025
180,페이퍼코리아,001020,D,C,D,D,2025
179,펩트론,087010,D,D,D,D,2025
178,평화산업,090080,B,B+,A+,C,2025
177,평화홀딩스,010770,B,B,B+,B,2025
176,포스코DX,022100,A,A+,A+,B+,2025
175,포스코스틸리온,058430,A,A,A+,B+,2025
174,포스코엠텍,009520,A,A,A+,B+,2025
173,포스코인터내셔널,047050,A,B+,A+,A,2025
172,포스코퓨처엠,003670,A,A,A+,A,2025
171,푸드웰,005670,D,C,C,D,2025
170,푸본현대생명보험,860086,등급없음,등급없음,등급없음,B+,2025
169,풀무원,017810,A+,A,A+,A+,2025
168,풍산,103140,B+,B,A,B+,2025
167,풍산홀딩스,005810,B+,B,A,B+,2025
166,프로텍,053610,D,C,C,D,2025
165,플레이그램,009810,D,D,D,D,2025
164,플레이디,237820,B+,B,B+,A,2025
163,플루토스,019570,D,D,D,D,2025
162,피에스케이,319660,C,B,B+,C,2025
161,피에스케이홀딩스,031980,B,B+,B+,C,2025
160,피엔티,137400,D,D,C,D,2025
159,하나금융지주,086790,A+,A,A,A+,2025
158,하나마이크론,067310,C,B+,A,D,2025
157,하나머티리얼즈,166090,B,B+,A+,D,2025
156,하나생명보험,800845,등급없음,등급없음,등급없음,B,2025
155,하나은행,004940,등급없음,등급없음,등급없음,A,2025
154,하나제약,293480,C,D,C,C,2025
153,하나증권,805992,등급없음,등급없음,등급없음,B+,2025
152,하나카드,856659,등급없음,등급없음,등급없음,B+,2025
151,하나캐피탈,809337,등급없음,등급없음,등급없음,B+,2025
150,하나투어,039130,B+,A,A,B+,2025
149,하림,136480,A,A,A+,A,2025
148,하림지주,003380,B+,A,A,B,2025
147,하이브,352820,B+,B+,A,B+,2025
146,하이스틸,071090,D,C,C,D,2025
145,하이트진로,000080,B,B+,A,C,2025
144,하이트진로홀딩스,000140,C,B+,A,C,2025
143,한국가스공사,036460,A,A,A+,B+,2025
142,한국공항,005430,A,A,A+,B+,2025
141,한국금융지주,071050,B,B,B+,B,2025
140,한국내화,010040,C,B+,A,D,2025
139,한국단자공업,025540,B,B+,A,C,2025
138,한국무브넥스,010100,C,B,B,D,2025
137,한국석유공업,004090,B+,B+,B+,A,2025
136,한국수출포장공업,002200,C,C,C,B,2025
135,한국쉘석유,002960,C,D,C,B,2025
134,한국스탠다드차타드은행,000110,등급없음,등급없음,등급없음,A+,2025
133,한국씨티은행,016830,등급없음,등급없음,등급없음,B+,2025
132,한국앤컴퍼니,000240,B,B+,A+,C,2025
131,한국자산신탁,123890,D,C,C,D,2025
130,한국전력공사,015760,C,C,D,B+,2025
129,한국전자홀딩스,006200,D,C,D,D,2025
128,한국정보인증,053300,D,D,C,D,2025
127,한국제지,027970,D,C,C,D,2025
126,한국종합기술,023350,B,C,B,B,2025
125,한국주강,025890,D,D,D,D,2025
124,한국주철관공업,000970,D,C,D,D,2025
123,한국철강,104700,C,C,B,C,2025
122,한국카본,017960,C,B+,B,D,2025
121,한국캐피탈,023760,C,D,C,B,2025
120,한국콜마,161890,A,A,A+,B+,2025
119,한국타이어앤테크놀로지,161390,A,B+,A+,B+,2025
118,한국토지신탁,034830,D,D,C,D,2025
117,한국투자증권,804504,등급없음,등급없음,등급없음,D,2025
116,한국투자캐피탈,833339,등급없음,등급없음,등급없음,B,2025
115,한국특강,007280,D,C,C,D,2025
114,한국항공우주,047810,A,A,A,B+,2025
113,한국화장품,123690,D,D,C,D,2025
112,한국화장품제조,003350,D,C,C,D,2025
111,한글과컴퓨터,030520,C,D,C,C,2025
110,한농화성,011500,D,C,C,D,2025
109,한독,002390,A,A,A+,B+,2025
108,한미글로벌,053690,B+,A,A+,B,2025
107,한미반도체,042700,D,D,D,D,2025
106,한미사이언스,008930,B+,B+,A,B,2025
105,한미약품,128940,B,A,A+,C,2025
104,한샘,009240,B+,A,A+,B,2025
103,한섬,020000,A,A,A+,A,2025
102,한성기업,003680,B,B+,A,C,2025
101,한세실업,105630,A,B+,A+,A,2025
100,한세엠케이,069640,B+,B+,B+,B+,2025
99,한세예스24홀딩스,016450,A,B+,A,A,2025
98,한솔로지스틱스,009180,A,B,A,A,2025
97,한솔아이원스,114810,A,B+,A,A,2025
96,한솔인티큐브,070590,B+,C,B+,A,2025
95,한솔제지,213500,A,A,A+,A,2025
94,한솔케미칼,014680,B+,B+,A,B+,2025
93,한솔테크닉스,004710,A,B+,A,A,2025
92,한솔피엔에스,010420,B+,B,B+,B+,2025
91,한솔홀딩스,004150,A,A,A,A,2025
90,한솔홈데코,025750,B+,B+,B+,B+,2025
89,한신공영,004960,D,C,C,D,2025
88,한신기계공업,011700,C,C,C,C,2025
87,한양증권,001750,B,D,B,B,2025
86,한온시스템,018880,A,A,A,B+,2025
85,한올바이오파마,009420,C,B,B+,C,2025
84,한익스프레스,014130,D,C,C,D,2025
83,한일시멘트,300720,B+,A,A+,B,2025
82,한일철강,002220,D,D,D,D,2025
81,한일현대시멘트,006390,B+,A,B+,B+,2025
80,한일홀딩스,003300,B+,A,A+,B,2025
79,한전KPS,051600,A,A,A,A,2025
78,한전기술,052690,A,A,A+,B+,2025
77,한전산업,130660,C,C,C,C,2025
76,한진,002320,A,A,A,B+,2025
75,한진중공업홀딩스,003480,D,D,C,D,2025
74,한진칼,180640,A,A,A,A,2025
73,한창,005110,D,D,D,D,2025
72,한창제지,009460,D,C,D,D,2025
71,한컴라이프케어,372910,C,C,B,D,2025
70,한화,000880,A,A,A,B+,2025
69,한화갤러리아,452260,B,C,B,B+,2025
68,한화생명,088350,A,A+,A,B+,2025
67,한화손해보험,000370,A,A+,A,B+,2025
66,한화솔루션,009830,A,A,A+,B+,2025
65,한화시스템,272210,A,A,A+,B+,2025
64,한화에어로스페이스,012450,A,A,A+,B+,2025
63,한화엔진,082740,B+,B+,A,B+,2025
62,한화오션,042660,C,A,D,D,2025
61,한화투자증권,003530,A,A,A+,B+,2025
60,해성디에스,195870,A,A,A,B+,2025
59,해태제과식품,101530,C,B,B+,C,2025
58,핸즈코퍼레이션,143210,D,C,C,D,2025
57,현대건설,000720,A,A,A+,A,2025
56,현대그린푸드,453340,A,A,A+,A,2025
55,현대글로비스,086280,A,A,A+,A,2025
54,현대로템,064350,A+,A+,A+,A,2025
53,현대리바트,079430,A,B+,A,A,2025
52,현대모비스,012330,B+,B+,A+,B,2025
51,현대바이오,048410,D,D,D,D,2025
50,현대바이오랜드,052260,A+,A+,A+,A,2025
49,현대백화점,069960,A+,A+,A+,A,2025
48,현대비앤지스틸,004560,B+,B+,A,B,2025
47,현대약품,004310,C,C,B,D,2025
46,현대에버다임,041440,A,B+,A,A,2025
45,현대엘리베이터,017800,A+,A+,A+,A,2025
44,현대오토에버,307950,A,A,A+,B+,2025
43,현대위아,011210,A+,A+,A+,A,2025
42,현대이지웰,090850,A,A,A+,A,2025
41,현대자동차,005380,A,A+,A,B+,2025
40,현대제철,004020,B+,B+,A+,B,2025
39,현대지에프홀딩스,005440,A,A,A+,A,2025
38,현대차증권,001500,A,A,A+,B+,2025
37,현대카드,815419,등급없음,등급없음,등급없음,A,2025
36,현대캐피탈,836248,등급없음,등급없음,등급없음,A,2025
35,현대커머셜,888975,등급없음,등급없음,등급없음,A,2025
34,현대코퍼레이션,011760,B,B,B+,B,2025
33,현대코퍼레이션홀딩스,227840,B+,B,B+,B+,2025
32,현대퓨처넷,126560,A,A,A+,A,2025
31,현대해상,001450,A,A+,A,A,2025
30,현대홈쇼핑,057050,A,A,A+,A,2025
29,형지엘리트,093240,D,D,D,D,2025
28,혜인,003010,D,D,D,D,2025
27,호전실업,111110,C,D,D,B+,2025
26,호텔신라,008770,A,A,A,A,2025
25,화승알앤에이,378850,B+,B+,A,B,2025
24,화승엔터프라이즈,241590,B+,B,A,B+,2025
23,화승인더스트리,006060,B+,B+,B+,B,2025
22,화승코퍼레이션,013520,C,B+,A,C,2025
21,화신,010690,B,B+,A+,C,2025
20,화신정공,126640,B,C,B+,B,2025
19,화인베스틸,133820,C,C,D,C,2025
18,화천기계,010660,D,D,D,D,2025
17,화천기공,000850,C,D,C,C,2025
16,환인제약,016580,C,D,B,B,2025
15,황금에스티,032560,C,D,D,B,2025
14,효성,004800,A,A,A+,B+,2025
13,효성 ITX,094280,A,A,A+,A,2025
12,효성중공업,298040,B,A,A+,D,2025
11,효성티앤씨,298020,A,A,A+,B+,2025
10,효성화학,298000,A,A,A+,B+,2025
9,후성,093370,B+,B+,A,B,2025
8,휴니드테크놀러지스,005870,D,C,C,D,2025
7,휴비스,079980,B+,B+,A,B+,2025
6,휴스틸,005010,C,C,C,C,2025
5,휴온스,243070,A,A,A,A,2025
4,휴젤,145020,C,C,B+,C,2025
3,흥국생명보험,818586,등급없음,등급없음,등급없음,B+,2025
2,흥국화재,000540,B+,B+,B,B+,2025
1,흥아해운,003280,C,B,B+,C,2025
